app_id	app_title	rating	price	no_of_ratings	size	in_app_products	installs	ratings_distribution_5	ratings_distribution_4	ratings_distribution_3	ratings_distribution_2	ratings_distribution_1	is_editors_choice	genre	age_rating	app_url
com.aaa.android.discounts	AAA Mobile	4.1	0	26,274	48M	nan	1,000,000+	15,408	5,053	1,653	1,055	3,114	0	Lifestyle	Everyone	https://play.google.com/store/apps/details?id=com.aaa.android.discounts
se.chai.vrtv.free	VRTV VR Video Player Free	4.0	0	1,832	15M	nan	100,000+	1,031	342	169	77	214	0	Video Players & Editors	Everyone	https://play.google.com/store/apps/details?id=se.chai.vrtv.free
com.bindasapp.RangEHinaUrduNovel	Rang E Hina Urdu Romantic Novel	4.5	0	4	7.6M	nan	1,000+	2	2	0	0	0	0	Books & Reference	Everyone	https://play.google.com/store/apps/details?id=com.bindasapp.RangEHinaUrduNovel
questionlogix.logomakerfree	Logo Maker Free	4.0	0	3,392	38M	nan	1,000,000+	2,206	271	251	95	589	0	Business	Everyone	https://play.google.com/store/apps/details?id=questionlogix.logomakerfree
com.gamesking.truckdriver	Indian Cargo Truck	4.0	0	78	56M	nan	10,000+	52	3	10	4	10	0	Simulation	Everyone	https://play.google.com/store/apps/details?id=com.gamesking.truckdriver
com.ace.shell.production	Auto Club	3.4	0	1,539	54M	nan	100,000+	776	150	52	89	482	0	Lifestyle	Everyone	https://play.google.com/store/apps/details?id=com.ace.shell.production
com.aacparty	AAC. Take It Back	4.9	0	69	19M	nan	1,000+	65	4	0	0	0	0	Events	Everyone	https://play.google.com/store/apps/details?id=com.aacparty
com.Pigeonwallpapers.pictures.backgrounds.photos.images.hd.free.beautiful	Pigeon Wallpaper HD	4.7	0	30	3.8M	nan	5,000+	26	2	1	0	1	0	Personalization	Everyone	https://play.google.com/store/apps/details?id=com.Pigeonwallpapers.pictures.backgrounds.photos.images.hd.free.beautiful
com.devsofttech.videoringtoneforincomingcall	Video Ringtone for Incoming Call	4.4	0	817	19M	nan	100,000+	607	69	54	21	71	0	Tools	Everyone	https://play.google.com/store/apps/details?id=com.devsofttech.videoringtoneforincomingcall
com.aaagame.vegaswildslots	Wild Slots™- Free Classic Vegas slots games	4.8	0	5,771	81M	$0.99 - $99.99 per item	100,000+	5,119	352	116	57	137	0	Casino	Teen	https://play.google.com/store/apps/details?id=com.aaagame.vegaswildslots
com.generaladaptivesgames.dotsaaa	Dots AAA	4.4	0	189	12M	nan	10,000+	138	19	15	3	14	0	Strategy	Everyone	https://play.google.com/store/apps/details?id=com.generaladaptivesgames.dotsaaa
org.dreamoriented.leeloo	Leeloo AAC - Autism Speech App for Non-Verbals	3.4	0	35	25M	nan	1,000+	12	8	4	4	7	0	Parenting	Everyone	https://play.google.com/store/apps/details?id=org.dreamoriented.leeloo
internet.package_offer.airtel	Internet Package Airtel	nan	0	nan	2.8M	nan	100+	0	0	0	0	0	0	Communication	Everyone	https://play.google.com/store/apps/details?id=internet.package_offer.airtel
uz.fido_biznes.mobile.client.aab	MyAlliance	3.5	0	152	22M	nan	1,000+	87	4	7	15	44	0	Finance	Everyone	https://play.google.com/store/apps/details?id=uz.fido_biznes.mobile.client.aab
com.outthinking.audioconverter	Audio Converter	3.2	0	1,976	29M	nan	100,000+	792	216	165	113	690	0	Music & Audio	Everyone	https://play.google.com/store/apps/details?id=com.outthinking.audioconverter
com.scopely.whiplash	WWE Champions	4.3	0	293,434	83M	$0.99 - $399.99 per item	10,000,000+	202,286	34,027	20,568	7,943	28,705	0	Role Playing	Teen	https://play.google.com/store/apps/details?id=com.scopely.whiplash
com.gloryappsdev.allfilesconverter	all file converter 2018	3.9	0	703	4.7M	nan	100,000+	412	107	56	11	124	0	Tools	Everyone	https://play.google.com/store/apps/details?id=com.gloryappsdev.allfilesconverter
com.metapay.simplexes.aaa	AAA Prepaid	3.6	0	10	37M	nan	1,000+	5	1	1	1	2	0	Finance	Everyone	https://play.google.com/store/apps/details?id=com.metapay.simplexes.aaa
com.shmoontz.commboards.lite	CommBoards Lite - AAC Speech Assistant	4.4	0	79	15M	nan	5,000+	51	15	5	6	2	0	Education	Everyone	https://play.google.com/store/apps/details?id=com.shmoontz.commboards.lite
com.th.manpower	Manpower Mobile timesheet	3.7	0	30	2.2M	nan	10,000+	17	2	3	2	6	0	Tools	Everyone	https://play.google.com/store/apps/details?id=com.th.manpower
com.CodeSmart.AudioVideoMerge	Add Audio To Video	3.8	0	9,498	12M	nan	1,000,000+	5,565	828	769	385	1,952	0	Video Players & Editors	Everyone	https://play.google.com/store/apps/details?id=com.CodeSmart.AudioVideoMerge
com.happ.soundeditor	Sound Editor	3.0	0	63	2.3M	nan	10,000+	25	5	3	4	26	0	Music & Audio	Everyone	https://play.google.com/store/apps/details?id=com.happ.soundeditor
toolsdeveloper.videoparnamelikhe	Video Par Name Likhe : Video Editor	3.9	0	434	16M	nan	100,000+	275	27	38	16	80	0	Tools	Everyone	https://play.google.com/store/apps/details?id=toolsdeveloper.videoparnamelikhe
com.PakApps.Mushaf	Mushaf Urdu Novel by Nimrah Ahmed	4.6	0	266	3.6M	nan	10,000+	217	28	8	3	12	0	Books & Reference	Everyone	https://play.google.com/store/apps/details?id=com.PakApps.Mushaf
com.artifexmundi.balefire	Bladebound: Immortal Hack and Slash Action RPG	4.3	0	21,561	44M	$0.99 - $69.99 per item	1,000,000+	14,533	2,945	1,511	714	1,979	0	Role Playing	Teen	https://play.google.com/store/apps/details?id=com.artifexmundi.balefire
com.eesolutionsinc.eespeechaac	EESpeech AAC	5.0	0	nan	3.0M	$3.99 - $39.99 per item	100+	1	0	0	0	0	0	Communication	Everyone	https://play.google.com/store/apps/details?id=com.eesolutionsinc.eespeechaac
com.bindasapp.MargEWafaUrduNovel	Marg E Wafa Urdu Novel	4.5	0	2	7.5M	nan	100+	1	1	0	0	0	0	Books & Reference	Everyone	https://play.google.com/store/apps/details?id=com.bindasapp.MargEWafaUrduNovel
video.player.videoplayer	Video Player All Format - XPlayer	4.8	0	338,261	Varies with device	$4.99 per item	10,000,000+	299,999	24,963	7,540	1,897	4,551	1	Video Players & Editors	Everyone	https://play.google.com/store/apps/details?id=video.player.videoplayer
com.mobirix.connectfour	4 in a row king	4.2	0	36,464	6.4M	nan	5,000,000+	22,004	7,277	3,907	925	2,484	0	Board	Everyone	https://play.google.com/store/apps/details?id=com.mobirix.connectfour
com.youtalkaac	YouTalk AAC	3.9	0	71	684k	nan	10,000+	38	12	7	6	8	0	Communication	Everyone	https://play.google.com/store/apps/details?id=com.youtalkaac
com.app.aabuniversitesinet	AAB Üniversitesi	nan	0	nan	6.3M	nan	1+	0	0	0	0	0	0	Education	Everyone	https://play.google.com/store/apps/details?id=com.app.aabuniversitesinet
com.teconica.chromecast	Video Cast for Chromecast	nan	0	nan	18M	nan	500+	0	0	0	0	0	0	Tools	Everyone	https://play.google.com/store/apps/details?id=com.teconica.chromecast
kr.starple.kstar	STARPLE - 2018 AAA Official Voting App	2.5	0	7,630	14M	$0.99 - $47.99 per item	100,000+	2,239	471	453	399	4,066	0	Entertainment	Everyone 10+	https://play.google.com/store/apps/details?id=kr.starple.kstar
com.abbyy.mobile.lingvo.market	ABBYY Lingvo Dictionaries	4.0	0	11,647	23M	$0.99 - $79.99 per item	500,000+	7,103	1,646	800	512	1,594	0	Books & Reference	Teen	https://play.google.com/store/apps/details?id=com.abbyy.mobile.lingvo.market
com.betafish.adblocksbrowser	AdBlock for Samsung Internet	4.1	0	7,208	2.8M	nan	1,000,000+	4,508	904	550	203	1,054	0	Productivity	Everyone	https://play.google.com/store/apps/details?id=com.betafish.adblocksbrowser
com.foobar2000.foobar2000	foobar2000	4.3	0	9,318	Varies with device	nan	500,000+	5,999	1,675	776	371	502	0	Music & Audio	Everyone	https://play.google.com/store/apps/details?id=com.foobar2000.foobar2000
com.dual.familyphotoframes	Family Dual Photo Frames	4.4	0	3,943	9.2M	nan	1,000,000+	2,752	508	395	99	196	0	Photography	Everyone	https://play.google.com/store/apps/details?id=com.dual.familyphotoframes
net.aaccreditunion.aac	AAC Credit Union	5.0	0	14	10M	nan	1,000+	14	0	0	0	0	0	Finance	Everyone	https://play.google.com/store/apps/details?id=net.aaccreditunion.aac
com.ea.game.easportsufc_row	EA SPORTS UFC®	4.5	0	2,475,347	37M	$0.99 - $99.99 per item	50,000,000+	1,842,020	313,438	117,336	48,267	155,068	0	Sports	Teen	https://play.google.com/store/apps/details?id=com.ea.game.easportsufc_row
com.aaa.cordova_container_local	AcueductosPR	3.7	0	647	21M	nan	100,000+	356	71	50	23	147	0	Tools	Everyone	https://play.google.com/store/apps/details?id=com.aaa.cordova_container_local
grant.aac.player	AAC Player	2.8	0	31	3.4M	nan	10,000+	12	1	2	2	14	0	Music & Audio	Everyone	https://play.google.com/store/apps/details?id=grant.aac.player
com.apponly.adddot	Set Dot	4.2	0	19,399	4.9M	nan	1,000,000+	11,502	3,550	2,280	585	1,484	0	Trivia	Everyone	https://play.google.com/store/apps/details?id=com.apponly.adddot
com.tpvapps.simpledrumsrock	Simple Drums Rock - Realistic Drum Set	4.4	0	75,423	10M	$1.99 per item	10,000,000+	52,576	9,184	6,773	2,088	4,932	0	Music	Everyone	https://play.google.com/store/apps/details?id=com.tpvapps.simpledrumsrock
com.supersuperstar.yuudee.vue	Yuudee AAC	nan	0	3	81M	nan	500+	0	0	0	0	0	0	Parenting	Everyone	https://play.google.com/store/apps/details?id=com.supersuperstar.yuudee.vue
com.silentlexx.ffmpeggui	FFmpeg Media Encoder	4.1	0	1,016	17M	$0.99 per item	100,000+	595	182	98	45	97	0	Video Players & Editors	Everyone	https://play.google.com/store/apps/details?id=com.silentlexx.ffmpeggui
com.ichano.athome.avs	AtHome Video Streamer — security monitor camera	4.3	0	13,524	35M	nan	1,000,000+	9,256	1,863	876	408	1,136	0	Tools	Everyone	https://play.google.com/store/apps/details?id=com.ichano.athome.avs
